holiday,date,is_working
元旦,2022-12-31,false
元旦,2023-01-01,false
元旦,2023-01-02,false
春节,2023-01-21,false
春节,2023-01-22,false
春节,2023-01-23,false
春节,2023-01-24,false
春节,2023-01-25,false
春节,2023-01-26,false
春节,2023-01-27,false
春节,2023-01-28,ture
春节,2023-01-29,ture
清明节,2023-04-05,false
劳动节,2023-04-23,ture
劳动节,2023-04-29,false
劳动节,2023-04-30,false
劳动节,2023-05-01,false
劳动节,2023-05-02,false
劳动节,2023-05-03,false
劳动节,2023-05-06,ture
端午节,2023-06-22,false
端午节,2023-06-23,false
端午节,2023-06-24,false
中秋节、国庆节,2023-09-29,false
中秋节、国庆节,2023-09-30,false
中秋节、国庆节,2023-10-01,false
中秋节、国庆节,2023-10-02,false
中秋节、国庆节,2023-10-03,false
中秋节、国庆节,2023-10-04,false
中秋节、国庆节,2023-10-05,false
中秋节、国庆节,2023-10-06,false
中秋节、国庆节,2023-10-07,ture
中秋节、国庆节,2023-10-08,ture
